1993, B396,  Nucl.Phys., Polyakov,  The Theory of Turbulence in Two Dimensions
1993, D47,  Phys.Rev., Mignemi & Stewart,  Charged black holes in effective string theory
1993, A26,  J.Phys., Khare & Sukhatme,  New Shape Invariant Potentials in Supersymmetric Quantum Mechanics
1993, B400,  Nucl.Phys., Gross,  Two Dimensional QCD as a String Theory
1993, B302,  Phys.Lett., Donets & Gal'Tsov,  Stringy Sphalerons and Non-Abelian Black Holes
1993, A8,  Mod.Phys.Lett., Aref'eva & Medvedev & Zubarev,  Interaction of d=2 c=1 Discrete States from String Field Theory
1993, A8,  Int. J. Mod. Phys., Filippov & Isaev & Kurdikov,  Paragrassmann Extensions of the Virasoro Algebra
1994, D49,  Phys.Rev., Balakrishna,  Difficulties in Inducing a Gauge Theory at Large N
1993, B7,  Int. J. Mod. Phys., Li,  Hierarchical Wave Functions and Fractional Statistics in Fractional  Quantum Hall Effect on the Torus
1993, B7,  Int. J. Mod. Phys., Li,  Hierarchical Wave Functions of Fractional Quantum Hall Effect on the  Torus
1993, D48,  Phys.Rev., Aichelburg & Bizon,  Magnetically Charged Black Holes and their Stability
1993, B302,  Phys. Lett., Caselle & Gliozzi & Vinti,  Finite-Size Effects in the Interface of 3D Ising Model
1993, B302,  Phys.Lett., Narayanan & Neuberger,  Infinitely many regulator fields for chiral fermions
1993, B404,  Nucl. Phys., Aoki & Gocksch,  The Spectrum of the Kazakov Migdal-Model
1993, D47,  Phys.Rev., Farhi & Khoze & Jr,  Minkowski Space Non-Abelian Classical Solutions with Non-Integer Winding  Number Change
1993, B314,  Phys.Lett., Espinosa & Quiros & Zwirner,  On the nature of the electroweak phase transition
1993, D48,  Phys.Rev., Grosse-Knetter & Koegerler,  Unitary Gauge, Stueckelberg Formalism and Gauge Invariant Models for  Effective Lagrangians
1993, B301,  Phys. Lett., Barducci & Casalbuoni & Pettini & Gatto,  Discontinuity Theorem for First Order Phase Transitions. Implications  for QCD
1993, B302,  Phys.Lett., Argyres & Papadopoulos & Kleiss,  On amplitude zeros at threshold
1994, B421,  Nucl. Phys., Wu & Arnowitt,  Very Large Intermediate Breaking Scale In The Gepner Three Generation  Model
1993, D48,  Phys.Rev., Lam,  Multiloop String-Like Formulas for QED
1993, B302,  Phys.Lett., Bern & Dixon & Kosower,  Dimensionally Regulated One-Loop Integrals
1993, A8,  Mod.Phys.Lett., Savvidy & Savvidy,  Gonihedric String and Asymptotic Freedom
1994, B323,  Phys.Lett., Antoniadis & Mazur & Mottola,  Scaling behavior of quantum four-geometries
1993, D47,  Phys.Rev., Minahan,  Summing Over Inequivalent Maps in the String Theory Interpretation of  Two Dimensional QCD
1994, A9,  Mod.Phys.Lett., Spector,  A Simple Method for Computing Soliton Statistics
1993, A8,  Mod.Phys.Lett., Ali & Kumar,  A New $N = 4$ Superconformal Algebra
1993, B409,  Nucl.Phys., Ragoucy,  Characteristic Dynkin diagrams and W-algebras
1993, D47,  Phys.Rev., Fry,  Fermionic Determinant of the Massive Schwinger Model
1995, B442,  Nucl. Phys., Hlousek & Spector,  Solitons and Instantons with(out) Supersymmetry
1993, B399,  Nucl.Phys., Tseytlin,  Effective action of gauged WZW model and exact string solutions
1993, A8,  Mod.Phys.Lett., Becker & Becker,  Nonperturbative Solution of the Super-Virasoro Constraints
1993, A8,  Mod. Phys. Lett., Kuniba & Nakanishi & Suzuki,  Characters in Conformal Field Theories from Thermodynamic Bethe Ansatz
1993, D47,  Phys.Rev., Aurilia & Smailagic & Spallucci,  Gauge Theory of the String Geodesic Field
1993, B305,  Phys. Lett., TADA & UEHARA,  On the Mass of Two Dimensional Quantum Black Hole
1993, D48,  Phys.Rev., Bilal,  Positive Energy Theorem and Supersymmetry in Exactly Solvable  Quantum-Corrected 2D Dilaton-Gravity
1993, B309,  Phys. Lett., Delduc & Ivanov,  $N=4$ super KdV equation
1993, A26,  J.Phys., Warnaar & Nienhuis,  Solvable lattice models labelled by Dynkin diagrams
1993, A8,  Mod.Phys.Lett., Tanii & Yamashita,  Physical States in Two-Dimensional Topological Gauge Theories
1994, B321,  Phys. Lett., Rivelles,  Topological Two Dimensional Dilaton Supergravity
1994, B321,  Phys.Lett., Zarembo,  The Spatial Dynamics in Kazakov--Migdal Model
1993, B408,  Nucl. Phys., Marino,  Quantum Electrodynamics of Particles on a Plane and the Chern-Simons  Theory
1993, B307,  Phys. Lett., Khuri,  A Comment on the Stability of String Monopoles
1993, B311,  Phys.Lett., Bergeron & Eliezer & Semenoff,  Canonical Chern-Simons Theory and the Braid Group on a Riemann Surface
1993, B304,  Phys.Lett., Chou & Nair & Polychronakos,  On the Electromagnetic Interactions of Anyons
1993, B305,  Phys. Lett., Staudacher,  Combinatorial Solution of the Two-Matrix Model
1993, B404,  Nucl. Phys., Frappat & Ragoucy & Sorba,  Folding the W Algebras
1993, B401,  Nucl. Phys., Fayyazuddin,  On the origin of multi-component anyon wave functions
1993, B403,  Nucl.Phys., Witten,  Phases of $N=2$ Theories In Two Dimensions
1993, B303,  Phys.Lett., Aspinwall & Greene & Morrison,  Multiple Mirror Manifolds and Topology Change in String Theory
1994, B413,  Nucl.Phys., Gepner & Fuchs,  Braiding in Conformal Field Theory and Solvable Lattice Models
1993, B307,  Phys.Lett., Kedem & Klassen & McCoy & Melzer,  Fermionic Sum Representations for Conformal Field Theory Characters
1993, D48,  Phys.Rev., Bars & Sfetsos,  Exact Effective Action and Spacetime Geometry in Gauged WZW Models
1993, D47,  Phys.Rev., Gunaydin,  N=4 Superconformal Algebras and Gauged WZW Models
1993, A8,  Mod. Phys. Lett., Gunaydin,  Generalized Conformal and Superconformal Group Actions and Jordan  Algebras
1994, B414,  Nucl. Phys., Sakamoto,  Topological Aspects of an Antisymmetric Background Field on Orbifolds
1993, B304,  Phys. Lett., Hinrichsen & Rittenberg,  Quantum Groups, Correlation Functions and Infrared Divergences
1994, A9,  Int. J. Mod. Phys., Brekke & Hughes & Imbo,  Rings and Balls
1993, B308,  Phys.Lett., Aref'eva,  A Simple Model Inducing QCD
1993, B304,  Phys.Lett., Maggiore,  A Generalized Uncertainty Principle in Quantum Gravity
1993, B400,  Nucl.Phys., Gross & Taylor,  Two Dimensional QCD is a String Theory
1993, B307,  Phys.Lett., de Veigy & Ouvry,  Topological 2-Dimensional Quantum Mechanics
1993, A176,  Phys. Lett., Dargis & Mathieu,  Nonlocal conservation laws in N=1,2 Supersymetric KdV equation
1993, B308,  Phys.Lett., Aref'eva,  Large-N Quenching in the Kazakov-Migdal Model
1993, B407,  Nucl.Phys., Mukhi & Vafa,  Two dimensional black-hole as a topological coset model of c=1 string  theory
1993, B306,  Phys. Lett., Panda & Roy,  On the Symmetry Algebra of the Discrete States in $d<2$ Closed String  Theory
1993, B404,  Nucl. Phys., Bougourzi,  Uniqueness of the bosonization of the $U_q(su(2)_k)$ quantum current  algebra
1995, A10,  Mod.Phys.Lett., Broda,  Chern-Simons approach to three-manifold invariants
1993, A8,  Mod. Phys. Lett., Lashkevich,  Superconformal 2D Minimal Models and an Unusual Coset Construction
1993, E48,  Phys.Rev., Boyanovsky,  Quantum Spinodal Decomposition
1993, A26,  J.Phys., Sun & Ge,  Quantum double of Heisenberg-Weyl algebra, its universal R-matrix and  their representations
1993, B408,  Nucl.Phys., Lu & Pope & Schrans & Wang,  On the Spectrum and Scattering of W_3 Strings
1993, B401,  Nucl. Phys., Lerda & Sciuto,  Anyons and Quantum Groups
1993, A8,  Mod. Phys. Lett., Giulini,  On the possibility of spinorial quantization in the Skyrme model
1993, D48,  Phys.Rev., Lee,  The Dual Formulation of Cosmic Strings and Vortices
1993, B404,  Nucl.Phys., Alfaro & Damgaard,  Origin of Antifields in the Batalin-Vilkovisky Lagrangian Formalism
1993, B312,  Phys. Lett., Chaudhuri & Minic,  On the Black Hole Background of Two-Dimensional String Theory
1993, C60,  Z. Phys., Elizalde & Naftulin & Odintsov,  Convenient Versus Unique Effective Action Formalism in 2D  Dilaton-Maxwell Quantum Gravity
1993, B404,  Nucl.Phys., Engberg & Nilsson & Sundell,  An Algorithm for Computing Four-Ramond Vertices at Arbitrary Level
1994, A27,  J.Phys., Abdalla & Abdalla & Branco & Saltini,  Current Algebra of Super WZNW Models
1994, B414,  Nucl.Phys., Johnson,  On Integrable c<1 Open--Closed String Theory
1993, B409,  Nucl. Phys., Bonini & D'Attanasio & Marchesini,  Perturbative renormalization and infrared finiteness in the Wilson
1993, A26,  J.Phys., Gracey,  Analysis of Abelian Gauge Theory with Four Fermi Interaction at  $O(1/N^2)$ in Arbitrary Dimensions
1993, B306,  Phys. Lett., Aharony,  Generalized Fusion Potentials
1993, D47,  Phys.Rev., Bilal & Kogan,  Hamiltonian Approach to 2D Dilaton-Gravities and Invariant Adm Mass
1993, A8,  Mod. Phys. Lett., Balachandran & Bimonte & Teotonio-Sobrinho,  Edge States in 4D and their 3D Groups and Fields
1993, B306,  Phys. Lett., Jonghe & Siebelink & Troost,  Hiding Anomalies
1994, D50,  Phys.Rev., Mahapatra,  On the Rotating Charged Black String Solution
1994, A27,  J.Phys., Dayi,  BFV--BRST Analysis of the Classical and Quantum q-deformations of the  sl(2) Algebra
1993, B399,  Nucl. Phys., Campbell & Kaloper & Madden & Olive,  Physical Properties of Four Dimensional Superstring Gravity Black Hole  Solutions
1993, B308,  Phys. Lett., Depireux & Mathieu,  Integrable Supersymmetry Breaking Perturbations of N=1,2 Superconformal  Minimal Models
1993, B47,  Phys. Rev., Li,  Hierarchical wave function, Fock cyclic condition and spin-statistics  relation in the spin-singlet fractional quantum Hall effect
1993, D47,  Phys.Rev., Finkelstein,  On the Definition of Decoherence
1993, B301,  Phys. Lett., Gasperini & Giovannini,  Entropy Production in the Cosmological Amplification of the Vacuum  Fluctuations
1993, D2,  Int.J.Mod.Phys., Campanelli & Lousto,  "Are Black Holes in Brans-Dicke Theory precisely the same as in General  Relativity?"
1993, D48,  Phys.Rev., Grant,  On Self-Dual Gravity I
1993, D47,  Phys.Rev., Lu & Wise,  Black Holes with a Generalized Gravitational Action
1993, D48,  Phys.Rev., Mielke & McCrea & Ne'eman & Hehl,  Avoiding degenerate coframes in an affine gauge approach to quantum  gravity
1993, D47,  Phys.Rev., Audretsch & Economou & Lousto,  Topological Defects in Gravitational Theories with Non Linear  Lagrangians
1993, B305,  Phys. Lett., Ben-Av & Bhanot,  Measuring the Decorrelation Times of Fourier Modes in Simulations
1993, B304,  Phys. Lett., Shen,  Does the 2d Higgs-Yukawa Model Have a Symmetric Phase at Small Yukawa  Coupling Region?
1993, B406,  Nucl.Phys., Sodano,  SU(N) Quantum Antiferromagnets and the Phase Structure of QED in the  Strong Coupling Limit
1993, B307,  Phys.Lett., Faraggi & Halyo,  Cabibbo Mixing in Superstring Derived Standard--like Models
1993, B302,  Phys.Lett., Faraggi,  Gauge Coupling Unification in Superstring Derived Standard--like Models
1995, A10,  Int. J. Mod. Phys., Abdalla & Abdalla & Sotkov & Stanishkov,  Off critical current algebras
1993, B313,  Phys. Lett., Nakamichi & Ueno,  New Vector Field and BRST Charges in 2-form Einstein Gravity
1993, A26,  J.Phys., Lukin & Stern & Yakushin,  Lagrangian and Hamiltonian Formalism on a Quantum Plane
1993, A8,  Mod. Phys. Lett., Pesando,  Vector Induced Lattice Gauge Theories
1993, B306,  Phys.Lett., Alvarez & Gracia-Bondia & Martin,  Parameter restrictions in a non-commutative geometry model do not  survive standard quantum corrections
1993, D47,  Phys.Rev., Crescimanno,  Equilibrium Two-Dimensional Dilatonic Spacetimes
1993, A8,  Mod.Phys.Lett., Brzezinski & Rembielinski & Smolinski,  Quantum Particle on a Quantum Circle
1993, D48,  Phys.Rev., Belgiorno & Cattaneo & Martellini & Fucito,  A Conformal Affine Toda Model of 2D-Black Holes the End-Point State and  the S-Matrix
1993, A8,  Mod.Phys.Lett., Vanderseypen,  Klein-Gordon-Langevin Quantum Geometry
1993, B401,  Nucl. Phys., Polyakov,  Curvature Singularity as the Vertex Operator
1993, C33,  Nucl. Phys. Proc. Suppl., Iengo,  Anyon Mean Field as an Exact Limit of a Gauge Theory
1994, B414,  Nucl.Phys., Horava,  Spacetime Diffeomorphisms and Topological W-Infinity Symmetry in Two  Dimensional Topological String Theory
1993, A26,  J.Phys., Broda,  SU(2) and the Kauffman bracket
1993, B406,  Nucl.Phys., Verlinde & Verlinde,  A Unitary S-matrix for 2D Black Hole Formation and Evaporation
1993, B305,  Phys.Lett., Aharony & Ganor & Sonnenschein & Yankielowicz,  c=1 String Theory as a Topological G/G Model
1994, D49,  Phys.Rev., Smith,  Hermitian Jordan Triple Systems, the Standard Model plus Gravity, and  Alpha = 1/137.03608
1993, B312,  Phys. Lett., Dalmazi & Abdalla,  Correlators in non-critical superstrings including the spinor emission  vertex
1993, B405,  Nucl.Phys., Kiritsis,  Exact Duality Symmetries in CFT and String Theory
1993, D47,  Phys.Rev., Siegel,  Two-Vierbein Formalism for String-Inspired Axionic Gravity
1993, A8,  Int. J. Mod. Phys., Sen,  SL(2, Z) Duality and Magnetically Charged Strings
1993, B304,  Phys. Lett., Ito,  Free Field Realization of $N=2$ Super $W_{3}$ Algebra
1993, B319,  Phys.Lett., Solodukhin,  Two-dimensional Black Hole With Torsion
1993, D48,  Phys.Rev., Strobl,  Comment on Gravity and the Poincare Group
1993, A8,  Mod.Phys.Lett., Vladimirov,  A method for obtaining quantum doubles from the Yang-Baxter R-matrices
1993, C58,  Z.Phys., Vladimirov,  On the Hopf algebras generated by the Yang-Baxter R-matrices
1993, A8,  Mod. Phys. Lett., Lahiri & 10,  Constrained Dynamics of the Coupled Abelian Two-Form
1993, B309,  Phys.Lett., Deser & Schwimmer,  Geometric Classification of Conformal Anomalies in Arbitrary Dimensions
1993, B305,  Phys.Lett., Eguchi & Kanno & Yamada & Yang,  Topological Strings, Flat Coordinates and Gravitational Descendants
1993, B400,  Nucl.Phys., Giveon & Rocek,  On the BRST Operator Structure of the N=2 String
1993, B305,  Phys.Lett., Damgaard & Jonghe,  Master Equations for Extended Lagrangian BRST Symmetries
1993, D48,  Phys.Rev., Cognola & Kirsten & Zerbini,  One-loop effective potential on hyperbolic manifolds
1993, B316,  Phys. Lett., Figueroa-O'Farrill & Stanciu,  On a New Supersymmetric KdV Hierarchy in $2{-}d$ Quantum Supergravity
1993, B306,  Phys.Lett., Kobayashi & Uematsu,  q-deformed superconformal algebra on quantum superspace
1994, B327,  Phys. Lett., Caban & Dobrosielski & Krajewska & Walczak,  On the q-Deformed Hamiltonian Mechanics
1994, A9,  Int. J. Mod. Phys., Mikovic,  Canonical quantization approach to 2d gravity coupled to c<1 matter
1993, B406,  Nucl.Phys., McAvity & Osborn,  Energy Momentum Tensor in Conformal Field Theories Near a Boundary
1993, B406,  Nucl.Phys., Khastgir & Maharana,  Topology changing processes and symmetries of string effective action
1993, D48,  Phys.Rev., Yi,  Nonsingular 2-D Black Holes and Classical String Backgrounds
1993, D48,  Phys.Rev., Paranjape & Ross,  Instantons and the Ground State of the Massive Schwinger Model
1994, A9,  Int.J.Mod.Phys., Barrett & Gibbons & Perry & Pope & Ruback,  Kleinian Geometry and the N=2 Superstring
1993, B303,  Phys.Lett., Elizalde & Odintsov,  Renormalization-group improved effective potential for gauge theories in  curved spacetime
1994, A9,  Int. J. Mod. Phys., Jack & Panvel,  WZW-Toda Reduction using the Casimir Operator
1994, D49,  Phys.Rev., Fursaev & Miele,  Finite-Temperature Scalar Field Theory in Static de Sitter Space
1993, D48,  Phys.Rev., Strominger & Trivedi,  Information Consumption by Reissner-Nordstrom Black Holes
1993, B300,  Phys. Lett., Davidson & Paz,  Threefold Family of Charged Spin-1/2 Dirac Bubbles
1993, D47,  Phys.Rev., Urosevic,  Perturbation Theory in Two Dimensional Open String Field Theory
1994, B411,  Nucl.Phys., Tseytlin,  Conformal sigma models corresponding to gauged Wess-Zumino-Witten  theories
1994, A9,  Int.J.Mod.Phys., Avdeev & Kazakov & Kondrashuk,  Difficulties of an Infrared Extension of Differential Renormalization
1993, B306,  Phys.Lett., Arnaudon & Rittenberg,  Quantum Chains with U_q(SL(2)) Symmetry and Unrestricted Representations
1993, B307,  Phys.Lett., Isaev & Popowicz,  Quantum Group Gauge Theories and Covariant Quantum Algebras
1994, B418,  Nucl. Phys., Jaskolski & Meissner,  Static Quark Potential from the Polyakov Sum over Surfaces
1993, B405,  Nucl.Phys., Bershadsky & Cecotti & Ooguri & Vafa,  Holomorphic Anomalies in Topological Field Theories
1993, B314,  Phys.Lett., Zhang & Harindranth,  Residual Gauge Fixing in Light-Front QCD
1993, D48,  Phys.Rev., Kallosh & Ortin,  Charge Quantization of Axion-Dilaton Black Holes
1993, B308,  Phys.Lett., Caracciolo & R-Monteiro,  Anyonic Realization of $SU_q(N)$ Quantum Algebra
1993, A8,  Int.J.Mod.Phys., West,  The covariant scattering and cohomology of $W_3$ strings
1993, B313,  Phys.Lett., Gepner,  On RSOS models associated to Lie algebras and RCFT
1994, B414,  Nucl.Phys., Kostelecky & Perry,  Condensates and Singularities in String Theory
1994, A9,  Int. J. Mod. Phys., Wesolowski & Hosotani & Ho,  Multiple Chern-Simons Fields on a Torus
1992, B381,  Nucl.Phys., Piguet & Sorella,  On the finiteness of the BRS modulo-d cocycles
1993, B395,  Nucl.Phys., Piguet & Sorella,  Adler-Bardeen theorem and vanishing of the gauge beta function
1993, B308,  Phys.Lett., Eholzer & Honecker & Huebel,  How Complete is the Classification of W-Symmetries ?
1993, A8,  Mod.Phys.Lett., Aratyn & Ferreira & Gomes & Medeiros & Zimerman,  Generalized Miura Transformations, Two-Boson KP Hierarchies and their  Reduction to KDV Hierarchies
1993, A8,  Mod. Phys. Lett., Dobroliubov & Eliezer & Kogan & Semenoff & Szabo,  The Spectrum of Topologically Massive Quantum Electrodynamics
1993, A8,  Mod. Phys. Lett., Fujiwara & Tabei & Igarashi & Maeda & Kubo,  Canonical treatment of two dimensional gravity as an anomalous gauge  theory
1993, B316,  Phys. Lett., Fujiwara & Igarashi & Kubo,  Unrecognizable Black Holes in Two Dimensions
1993, B306,  Phys.Lett., Kawai & Kawamoto & Mogami & Watabiki,  Transfer Matrix Formalism for Two-Dimensional Quantum Gravity and  Fractal Structures of Space-time
1993, B309,  Phys.Lett., Penati & Pernici & Zanon,  Solitons in Two--Dimensional Topological Field Theories
1993, D47,  Phys.Rev., Allen & Crossley,  Harmonic BRST Quantization of Systems with Irreducible Holomorphic Boson  and Fermion Constraints
1994, D49,  Phys.Rev., de Alwis,  Two Dimensional Quantum Dilaton Gravity and the Positivity of Energy
1993, D47,  Phys.Rev., Gegenberg & Kunstatter,  Quantum Theory of Black Holes
1994, D49,  Phys.Rev., Smolin,  Finite, diffeomorphism invariant observables in quantum gravity
1997, A12,  Int.J.Mod.Phys., Ferraris & Francaviglia & Volovich,  A Model of Topological Affine Gravity in Two Dimensions
1994, B414,  Nucl.Phys., Larsen & Frolov,  Propagation of perturbations along strings
1993, B307,  Phys.Lett., Danielsson,  Super Black Holes
1993, A174,  Phys.Lett., Andrianov & Ioffe & Spiridonov,  Higher-Derivative Supersymmetry and the Witten Index
1993, B306,  Phys. Lett., Kawai & Nakayama,  Quantum $R^2$ Gravity in Two Dimensions
1993, D48,  Phys.Rev., Kaloper,  Miens of The Three Dimensional Black Hole
1994, A9,  Int. J. Mod. Phys., Bantay,  Algebraic Aspects of Orbifold Models
1993, D48,  Phys.Rev., Schiffer,  Is it possible to recover information from the black-hole radiation?
1993, B7,  Int.J.Mod.Phys., Dasmahapatra & Kedem & Klassen & McCoy & Melzer,  Quasi-Particles, Conformal Field Theory, and $q$-Series
1993, D48,  Phys.Rev., Hirano & Kazama & Satoh,  Exact Operator Quantization of a Model of Two-Dimensional Dilaton  Gravity
1993, B314,  Phys.Lett., Kreuzer,  Where are the Mirror Manifolds?
1994, B411,  Nucl.Phys., Giveon & Kiritsis,  Axial Vector Duality as a Gauge Symmetry and Topology Change in String  Theory
1993, B407,  Nucl.Phys., Mayr & Stieberger,  Threshold Corrections to Gauge Couplings in Orbifold Compactifications
1993, D2,  Int. J. Mod. Phys., Tapia,  Integrable Conformal Field Theory in Four Dimensions and Fourth-Rank  Geometry
1993, B302,  Phys. Lett., Kalashnikov,  Gauge Fields Condensation at Finite Temperature
1993, D48,  Phys.Rev., Garriga & Sakellariadou,  Effects of friction on cosmic strings
1993, B304,  Phys. Lett., Berkovits,  A New Sigma Model Action for the Four-Dimensional Green-Schwarz  Heterotic Superstring
1993, A26,  J.Phys., Gorsky & Zabrodin,  Degenerations of Sklyanin algebra and Askey-Wilson polynomials
1993, B316,  Phys.Lett., Jonghe,  Schwinger-Dyson BRST-Symmetry and the Equivalence of Hamiltonian and  Lagrangian Quantistion
1993, B306,  Phys.Lett., Cappelli & Trugenberger & Zemba,  Large N Limit in the Quantum Hall Effect
1993, B316,  Phys.Lett., Cline & Paban,  Is Induced QCD really QCD? The preservation of asymptotic freedom by  matter interactions
1993, B309,  Phys.Lett., Nishino,  Self-Dual Supersymmetric Yang-Mills Theory Generates Witten's  Topological Field Theory
1993, A8,  Mod.Phys.Lett., Moras & Mas & Ramos,  Diffeomorphisms from higher dimensional W-algebras
1993, B306,  Phys.Lett., Kaplunovsky & Louis,  Model-Independent Analysis of Soft Terms in Effective Supergravity and  in String Theory
1993, B305,  Phys.Lett., Ambjorn & Jain & Jurkiewicz & Kristjansen,  Observing 4D Baby Universes in Quantum Gravity
1993, D48,  Phys.Rev., Ambjorn & Burda & Jurkiewicz & Kristjansen,  4D Quantum Gravity Coupled to Matter
1994, B49,  Phys.Rev., de Vega & Mezincescu & Nepomechie,  Thermodynamics of Integrable Chains with Alternating Spins
1993, B309,  Phys.Lett., Paunov,  W-infinity structure of the $sl(N)$ conformal affine Toda theories
1993, B403,  Nucl.Phys., Gross & Taylor,  Twists and Wilson Loops in the String Theory of Two Dimensional QCD
1993, B309,  Phys.Lett., Chung & Nam & Park & Shin,  Conformal Turbulence with Boundary
1993, B308,  Phys. Lett., Bergshoeff & Boonstra & de Roo & Panda & Sevrin,  On the BRST Operator of $W$-Strings
1993, A8,  Mod.Phys.Lett., Sen,  Magnetic Monopoles, Bogomol'nyi Bound and SL(2,Z) Invariance in String  Theory
1993, D48,  Phys.Rev., Sevrin & Nieuwenhuizen,  Quantum gauging from classical gauging of nonlinear algebras
1993, D48,  Phys.Rev., Kaloper,  Exact Primordial Black Strings in Four Dimensions
1993, B307,  Phys. Lett., Faraggi & Halyo,  Neutrino Masses in Superstring Derived Standard--like Models
1993, A8,  Mod.Phys.Lett., Bytsenko & Kirsten & Odintsov,  Self-interacting scalar fields on spacetime with compact hyperbolic  spatial part
1993, B304,  Phys. Lett., Alvarez & Cespedes & Verdaguer,  Quantum properties of the polytopic action in some simple geometries
1993, D48,  Phys.Rev., Li & Witten,  Role of Short Distance Behavior in Off-Shell Open-String Field Theory
1993, D48,  Phys.Rev., Blaizot & Ollitrault,  Collective fermionic excitations in systems with a large chemical  potential
1994, B413,  Nucl.Phys., Hull,  The Geometric Structure of $W_N$-Gravity
1993, B314,  Phys.Lett., Giavarini & Martin & Ruiz,  The universality of the shift of the Chern-Simons parameter for a  general class of BRS invariant regularizations
1993, B309,  Phys. Lett., Ivanov & Toppan,  N=2 Superconformal Affine Liouville Theory
1993, D48,  Phys.Rev., Khuri,  Veneziano Amplitude for Winding Strings
1993, B308,  Phys. Lett., Papadopoulos & Spence,  A Covariant Canonical Description of Liouville Field Theory
1994, A9,  Int. Journ. Mod. Phys. A9 1994) Pg., Clayton & Demopoulos & Moffat,  Abelian Anomalies in Nonlocal Regularization
1993, A8,  Mod. Phys. Lett., Caenepeel & MacKenzie,  Parity violation and the mean field approximation for the anyon gas
1993, A8,  Mod.Phys.Lett., Terao & Yamada,  Equivalent models for gauged WZW theory
1993, A8,  Mod. Phys. Lett., Rama & Sen,  Comments on Witten Invariants of 3-Manifolds for SU(2) and $Z_m$
1994, B411,  Nucl.Phys., Apfeldorf & Gomis,  Superconformal theories from Pseudoparticle Mechanics
1993, B318,  Phys. Lett., Nishino,  Supersymmetric KP Systems Embedded in Supersymmetric Self-Dual  Yang-Mills Theory
1993, B312,  Phys.Lett., Higuchi & Itoi & Sakai,  Exact Beta Functions in the Vector Model and Renormalization Group  Approach
1993, C60,  Z.Phys., Kobayashi,  Quantum Deformed $su(m|n)$ Algebra and Superconformal Algebra on Quantum  Superspace
1993, B409,  Nucl.Phys., Daul & Kazakov & Kostov,  Rational Theories of 2D Gravity from the Two-Matrix Model
1993, D47,  Phys.Rev., Burden & Roberts,  Gauge covariance and the fermion-photon vertex in three- and four-  dimensional, massless quantum electrodynamics
1993, A8,  Int.J.Mod.Phys., Marshakov,  Integrable structures in matrix models and physics of 2d-gravity
1995, D51,  Phys.Rev., Mignemi,  Dyonic black holes in effective string theories
1993, D48,  Phys.Rev., Jacobson,  Black Hole Evaporation in the Presence of a Short Distance Cutoff
1993, B319,  Phys. Lett., Berglund,  Dimensionally Reduced Landau-Ginzburg Orbifolds with Discrete Torsion
1993, B305,  Phys. Lett., Hikami,  Exponent of n-Ising matter fields coupled to 2d gravity
1993, B307,  Phys. Lett., Fring & Mussardo & Simonetti,  Form Factors of the Elementary Field in the Bullough-Dodd Model
1994, B416,  Nucl. Phys., Bastianelli & Lindstrom,  Induced Chiral Supergravities in 2D
1995, A10,  Int.J.Mod.Phys., Birmingham & Rakowski,  Combinatorial Invariants from Four Dimensional Lattice Models
1993, B404,  Nucl.Phys., Gibbons & Rietdijk & Holten,  SUSY in the sky
1993, B312,  Phys. Lett., Gat & Rosenstein,  Amplitude Zeroes in Collinear Processes or What Is Left from a  Factorizable 2d Model in Higher Dimensions
1993, B302,  Phys.Lett., Dabrowski & Dobrev & Floreanini & Husain,  Positive energy representations of the conformal quantum algebra
1993, A8,  Mod.Phys.Lett., Das,  Matrix Models and Nonperturbative String Propagation in Two-Dimensional  Black Hole Backgrounds
1994, D50,  Phys.Rev., Ferrari,  On the Quantization of the Chern-Simons Fields Theory on Curved
1993, A8,  Int. J. Mod. Phys., Koo & Saleur,  Fused Potts Models
1993, A8,  Mod. Phys. Lett., Fayyazuddin,  Exact Ground State Wave Functions for N Anyons in a Magnetic Field on a  Torus
1993, B408,  Nucl. Phys., Berkovits,  Finiteness and Unitarity of Lorentz-Covariant Green-Schwarz Superstring  Amplitudes
1993, B313,  Phys. Lett., Elizalde & Naftulin & Odintsov,  2D Dilaton-Maxwell Gravity as a Fixed Point of the Renormalization Group
1994, A9,  Int. J. Mod. Phys., Mikhailov,  Ward identities and W-constraints in Generalized Kontsevich Model
1993, B407,  Nucl.Phys., Sevrin & Thielemans & Troost,  Induced and Effective Gravity Theories in D=2
1993, A8,  Mod.Phys.Lett., Khudaverdian & Nersessian,  On the Geometry of the Batalin-Vilkovisky Formalism
1993, A8,  Mod. Phys. Lett., Chou,  On the Quantizations of the Damped Systems
1993, B407,  Nucl.Phys., Rama,  Tachyon Back Reaction on $d = 2$ String Black Hole
1993, B311,  Phys.Lett., Shatashvili,  Comment on the Background Independent Open String Theory
1994, B321,  Phys. Lett., Kovner & Kurzepa,  Bosonization in 2+1 dimensions without Chern - Simons attached
1993, B315,  Phys.Lett., Wexler,  Low Temperature Expansion of Matrix Models
1993, B307,  Phys. Lett., Ambjorn & Jain & Thorleifsson,  Baby universes in 2d quantum gravity
1994, A9,  Int.J.Mod.Phys., Skarke,  Towards finiteness without supersymmetry
1993, B312,  Phys.Lett., Minahan & Polychronakos,  Equivalence of Two Dimensional QCD and the $c=1$ Matrix Model
1993, D48,  Phys.Rev., Fujiwara & Igarashi & Kubo & Tabei,  Gauge Equivalence in Two--Dimensional Gravity
